NO;LOKASYON;TARİH;KULLANILAN  ARAÇ;BİLGİ; KOOORDİNAT;OSMANLI TOPRAĞI OLAN YERLER;;;;;;;;;;;;;;;;
124;Kapalı Çarşı;18.07.1885;Yaya;"Kapalı Çarşı ününü gerçekten hak ediyor, çünkü tüm dünyada karşılaştırılacak bir eşi yok. Labirent gibi küçük sergileri ve dükkanlarıyla tek bir düz sıra oluşturulsa kilometrelerce uzanırdı. Pazarlıkları ve üretim yapılan yerleri izlerken bütün bir günü yararlı geçirebilirsiniz. Bu şaşırtıcı alışveriş labirentinde Doğuya özgü yaşam mükemmel bir şekilde görülebilir. Doğunun ""gizemli örtülü kadını"" dar yollarda koştururken ve hemen her dükkanda otururken görünüyor. Su ve karpuz satıcıları ile diğer bir sürü yiyecek satıcısı ortalıkta geziyor. Eğer rehberiniz dürüst bir adamsa, sizi çok iyi pazarlık yapabileceğiniz her çeşit antika eşyanın bulunduğu küçük, havasız deliklere veya sahtekarsa ve' sadece ismiyle antikacı olan aynı oranda sahtekar düzenbazlarla iş yapıyorsa, her şeyin sadece adi taklit olduğu yerlere de götürebilir. İlk durumda eğer alışveriş olursa dükkan sahibinden küçük ama hak ettiği bir komisyon alır, ikincisindeyse komisyon belki de %30'a kadar çıkabilir. Harcayacak çok parası olan ama antika eşyaların asıl değeri ve gerçekliğiyle ilgili hiç bir şey bilmeyen turist grubuna eşlik eden bir rehberin komisyon olarak günde 10 veya 15.000 sterlin kazanabildiğini öğreniyorum.";41.01069232971613,28.968064743608622;Evet;;;;;;;;;;;;;;;;
125;Yeni Cami;18.07.1885;Yaya;Yeni Cami’ye uğruyoruz. ;41.04149884041315,28.95342290778467;Evet;;;;;;;;;;;;;;;;
126;Galata Kulesi;18.07.1885;Yaya;"İnsan gözü Galata kulesindekinden daha güzel bir manzara izleyemez. İstanbul, Galata, Beyoğlu ve Üsküdar, banliyölerdeki her köy ve kilometrelerce uzaktaki yerleşim yerleriyle Galata kulesinin çevreye hakim yüksekliğinden mükemmel bir şekilde görülebiliyor. Rehber burada İstanbul'un tüm ilginç binalarını gösterebilir; her günü çok yoğun geçen Kapalı Çarşı'nın geniş çatısı, çeşitli camiler, sultanların Beyoğlu'ndaki sarayları, boğazdaki imparatorluğa ait mermer kulübeler, Yerebatan sarnıcının doldurulmasında kullanılan eski Yunan su kemeri, eski şehir surları ve burada bahsedilemeyecek kadar çok sayıda ilginç yer. Haliç'in karşısındaki tepede Galata gözetleme kulesi camilerin ve Galata ile Beyoğlu'ndaki evlerin üzerinden gökyüzüne doğru yükseliyor. İstanbul ile Galata'yı bağlayan iki köprüde yoğun bir trafik görülüyor, Haliç boyunca uzun direkli gemiler dolaşıyor, vapurlar boğazda oraya buraya gidip geliyor, Amerikan kruvazörü Quinnebaug imparatorluk sarayının karşısında demirlemiş, Marmara denizi ile İzmit körfezinin mavi suları beyaz yelkenlerle nokta nokta oluyor veya vapurların dumanı havada uzun çizgiler bırakıyor. Hepsi birlikte hayal edilebilecek en güzel manzarayı oluştururken uzaktaki Asya tarafında kıyı boyunca uzanan tepeler ve daha yüksek dağlar son derece uygun bir arka fon oluşturuyor.
";41.02558348975498,28.974122775749546;Evet;;;;;;;;;;;;;;;;
127;Üsküdar;23.07.1885;Vapur;Rehberin saydığı ilginç yerlerin hepsini gezmeye vakit ayıramadığımdan aralarındaki en ilginci olduğu için Rufai dervişleri görmeyi seçiyorum. Bunun üzerine dervişler kendilerine özel ayinlerine başlamadan önce İngiliz mezarlığını ziyaret etmek için Perşembe günü öğleden sonra Üsküdar'a giden vapura biniyoruz. Sık çınar ağaçlarının altındaki hayrete düşüren genişlikteki bir araziye yayılan, İstanbul'un en büyük Müslüman mezarlıklarından birinin içinden geçiyoruz. O kadar kalabalık ve düzensiz ki en eski mezar taşları daha sonraki nesillere ve bunlarınkiler de yine sonradan gelenlere yer açmak için aşağıya da bir kenara itilmiş gibi duruyor. Müslüman mezarlığının kalabalık mezar taşlarının düzensizliği ile Kırım savaşı sırasında Üsküdar hastanesinde ölen İngiliz askerlerinin ve şimdilerde İstanbul'da yaşayan İngilizlerin ölülerini gömdüğü İngiliz Mezarlığı arasındaki karşılaştırma mutluluk veriyor.;41.03224493052769,29.031940052739493;Evet;;;;;;;;;;;;;;;;
128;Büyükada;26.07.1885;Yat;"İstanbulluların Pazar günleri ve tatillerde gittikleri deniz kenarındaki pek çok yerden daha önce bahsetmiştim. Tüm bu yerlerin arasında en güzeli İstanbul'dan 12 mil kadar uzakta, İzmit körfezinde yer alan Büyükada. Sultanın Tophane'deki dökümhanesini denetleyen bir İngiliz beyefendi ve ""Shelton's Mechanic's Guide"" kitabının da yazarı olan Shelton bey (Albay Shelton) boğazdaki en güzel buharlı yatın sahibi ve burada kaldığım 5 Pazarın 3'ünde bu beyefendi ve kusursuz eşi günü onlar-la birlikte Büyükada'da geçirmem için beni nazikçe davet ettiler… Büyükada yazın zengin İstanbulluların aileleri ve her gün şehirle ada arasında vapurla gidip gelen tanınmış işadamlarının kaldığı; Pazar günleri ise bir günlük kaçışın sunduğu sağlık ve keyif için akın eden kalabalıkların ziyaret ettiği şirin, dedikoducu bir adadır.";40.849779815311216,29.114903908827436;Evet;;;;;;;;;;;;;;;;
129;İzmit Körfezi;10.08.1885;Vapur;Otelim denize bakıyor ve karanlık olduktan saatler sonra birkaç kayık dolusu serenat yapan genç kasabanın önünde yavaş yavaş kürek çekiyor. Gecenin sessizliğinde verdikleri eğlenceli bir konserin rahatlatıcı etkisi suyun bilinen yumuşatıcı yönüyle artıyor ve kullandıkları fişekler ve mumlarla ortama ayrı bir zenginlik geliyor. Akşamın erken saatlerinde güzel yerleri benim kadar ilgiyle izleyen birkaç girişken yerliyle birlikte İzmit ve çevresindeki manzaraya şöyle bir bakarken durumun müthiş sevimliliğinden etkileniyorum. Şu an 13.000 kişinin yaşadığı kasaba eskiden Nicomedia adıyla anılırmış. Denize bakan yarım ay şeklinde inşa edilmiş ve pek çoğu beyaza boyanmış, yanları ve çatıları yeşillik içindeki, temelleri körfezin mavi sularıyla yıkanan evler yeşil tepelerin yamaçlarına yapılmış. Körfez burada 1,5 mile kadar daralıyor. Beyaz köyler karşı kıyıdaki yeşil dağ yamaçlarında beliriyor. Aralarında en bilineni birkaç yıl önce sanırım Robert Kolej'in devamı olan Amerikan misyoner okulunun kurulduğu bir Ermeni köyü olan Bahçelik. Hafif yamaçlı olsun kayalık olsun görünen arazinin her kilometresi yeşillik içinde ve körfezin suları dağlarla çevrili koylara özgü koyu mavi renkte. Beyaza boyanmış köyler akşam karanlığında öylesine şirin bir manzara oluşturuyor ki sanırım boğazdan sonra bu kadar güzel bir manzara görmedim. ;40.73909578640631,29.94202484555075;Evet;;;;;;;;;;;;;;;;
130;Sapanca ;11.08.1885;Bisiklet;"Sapancalıların temel uğraşı vakit öldürmek veya belki de bir şeyler yaşanmasını beklemek gibi görünüyor. Elma ve armut bahçeleri tamamen ihmal edilmiş bir görüntü içinde fundalıkların arasına dağılmış. Ağaçların çoğu yaşlı ve şu anki sahiplerinin layık olamadıkları girişimci dedeleri tarafından dikilmişler. Şimdikiler budama ve düzeltme gibi hiçbir işle uğraşmadan doğa kendi başına onlara lütfetmiş gibi bu nimetleri sadece kabul etmekle yetiniyorlar. Sık çalıların arasında oraya buraya dağılmış yosunlu mezar taşları görülebiliyor. Mezarlıklar ne çitle ne de kısa budanmış çalıyla korunuyor. Kısacası bu saldırgan, kısa bitki örtüsü Sapancalıların gücü için çok fazla görünüyor. Her yönden onların haklarını çalarken Banquo'nun hayaleti (Macbeth oyunundan) gibi utanma-dan kapı eşiklerine kadar peşlerini bırakmıyor. Vazgeçmeyeceğini anladığı için insanların bu yarışmadan çekildiği son derece açık. Yamaçların yukarılarında fundalıklar yerini dayanıklı ağaçlara bırakıyor ve etrafını kontrol edilemeyen yeşil bir orman duvarının çevirdiği küçük açık araziler beliriyor. Bu manzara Ohio ormanlarındaki açık arazileri hatırlatıyor. Sapanca minarelerinin tarihi görüntüsü, eski kayalık yol ve geride kalan yılların diğer kanıtları olmasa insan kendini soyumuzun beşiğinde değil de yeni bir ülkede sanabilir. 
Sapanca'da at arabası yolu sona eriyor ve yolum hiç karşılaşmadığım kadar berbat bir hal alıyor. Dağın yokuşunda selin alıp götürdüğü eski anayol hattının takip ettiği alçak bir dağ geçidinden geçiyorum. Sellerin yüzyıllarca bir yerden söküp diğer yere yığdığı taşlar artık Kansas fırtınalarının oyuncağı ve eğlencesi gibi görünüyor. Bu karmakarışık yığından geçmeye mecbur olan kervanlar ilk ticari faaliyetlerin doğuşundan beri bu geçidi kullandı ve yıldan yıla aynı yolu takip ettikleri için adım attıkları yerler ilkel bir merdivenin basamaklarına benzemeye başladı. Geçidin tepesinden yeşillik içindeki vadinin geniş bir görüntüsü izlenebiliyor. Sağda solda beyaz minareler yeşil denizdeki deniz fenerleri gibi yeşillik arazinin üzerinden yükselip çıkıyor. Köyler dağların alçak yamaçlarını belirtirken birkaç mil boyunca vadi genişliğinin yarısını kaplayan göl gün ortası güneşiyle parlıyor. Bu manzara bazı ülkelerde çok önceden tuval üzerinde veya şiirle ölümsüzleştirilirdi.
";40.68968318606327,30.261426573481952;Evet;;;;;;;;;;;;;;;;
131;Sakarya Vadisi;12.08.1885;Bisiklet;Sakarya vadisine çıkıyorum. Bazı yerlerde dağların arasında çok zor geçilecek kadar daralsa da bu vadede epey güzel yollar var. En dar noktalardan birinde dağlar neredeyse dimdik bir kaya haline alıyor ve Türklerin güneyden yapacağı bir işgal korkusuyla burada Yunanlılar tarafından 12. yüzyıl dolaylarında inşa edildiği sanılan eski bir kaya duvarın kalıntılar bulunuyor.;40.54015814548367,30.298798701044962;Evet;;;;;;;;;;;;;;;;
132;Geyve;12.08.1885;Bisiklet;Eski bir taş köprü üstünden Sakarya nehrini geçiyorum ve yarım saat sonra 7 mil kadar genişliğiyle üçgen şeklindeki bir vadinin ortasında bulunan büyük bir köy olan Geyve’ye geliyorum… Eski yan yoldaki geçidi, zirveden Sapanca vadisinin manzarasını ve de doğu tarafındaki küçük, şirin dereyi asla unutmayacağım. ;40.50863567493311,30.290263417572703;Evet;;;;;;;;;;;;;;;;
133;Karasu Geçidi;13.08.1885;Bisiklet;Bunlar önden gidip Kara Su geçidine giden yolu bana gösterme görevini üstlenirken bilgisi olmayan çoğunluk arkadan takip ediyor… Beni götürdükleri yol Anadolu'nun bu kısmında her yönden geçen eski taş yollardan biri. Bununla birlikte diğer karşılaştıklarım 1 metre genişliğinde ve Türklerden önce İstanbul ve çevresinde yerleşen daha girişken insanların askeri amaçlarla inşa ettikleri gayet açık. Dar taş patikalar buralardaki doğal zemin yağmurlu mevsimde geçilmez hale gelince orduların yürüyüşünü kolaylaştırmak için yapılmış. Bu taş yollar muhtemelen Bizans hakimiyeti sırasında yapılmış. Düzgün katır yolları bu terk edilmiş büyüklük ve güç kalıntısının yanında devam ediyor ve güneş yüzeyi kuruttuğu için bisikletime binip meraklı kalabalıktan uzaklaşıyorum ve 4 mil sonra Kara Su geçidinin yamaçlarına ulaşıyorum.;41.09562049947827,30.692370982431193;Evet;;;;;;;;;;;;;;;;
134;Taraklı;13.08.1885;Bisiklet;Taraklı'ya ulaşmamın üzerinden çok geçmeden bu insanların ara sıra okuduğum ama Asya topraklarında 3 gün geçirmeden karşılaşmaya hazır olmadığım bir başka özel ve bilinen yönüyle tanışıyorum. İnsanların bazıları gezginlerin ve misyonerlerin yanlarında taşıdığı ilaçlardan iyileştirici fayda gördüğü için Asyalılar buralardan geçen her Avrupalıyı hastalıkları iyileştirmede her çeşit mucizevi işi başarabilen birer doktor gibi görmeye başlamış… Taraklı'daki güzel evler Geyve'dekilerden daha fazla gibi görünüyor. Evler çoğunlukla iki katlı ve pencerelerle birlikte hiç eksik olmayan balkonlar kafesle çevrilmiş, böylece Osmanlı bayanları dışarıdaki dağınık mezar taşlarına yoldan geçenlerin keskin bakışlarına maruz kalmadan dalgın dalgın bakabiliyor. Yüzlerini örtme konusunda bu iç bölgelerdeki kadınlar yaşmak kavramına İstanbul ve çevresindeki hemcinsleri gibi cilveli bir kenara en ufak bir hoşgörü fikriyle bile yaklaşmaz. Görünüşe göre Taraklı bayanları yüz güzelliklerinin en ufak bir kısmını göstermekten korkuyor.;40.39657217142168,30.492120191911674;Evet;;;;;;;;;;;;;;;;
135;Göynük;14.08.1885;Bisiklet;Birkaç bin nüfuslu, üstü kapalı pazarı olan ve büyümekte olan bir kasaba görüntüsü veren Torbalı’ya (Göynük) geliyorum… Maalesef Torbalı’nın sokakları ve çevresi acınacak durumda. Bileğini burkmadan gitmek için çok dikkatli yürümek gerekiyor ve buralarda bisiklete binme fikri de çok saçma. ;40.40320707836649,30.785648027803372;Evet;;;;;;;;;;;;;;;;
136;Uluhan;14.08.1885;Bisiklet;Torbalı ile ertesi gün öğleden önce Ankara vilayeti sınırından geçtiğim Köstebek köyü (Uluhan) arasındaki tüm mesafe bisiklet binmek için kötü bir bölge. Ormanla kaplı dağlar, kayalık boğazlar ve dalgalı tepeler arazinin tipik özellikleri. Kıymetli tiftik ticaret malı olarak ihraç edilmeye başladığından beri taşımacılık yapan kervanların kayalık sırtlarda 1 metre derinliğinde siper gibi patikalar açtığı kayalık geçitler dağların tepesinden geçiyor. Daha az kayalık ve sarp tepelerin üzerinden önünüzdeki bölgenin geniş bir manzarası izlenebilir…  Ağaçlar şimdiki çıplak tepelerde tarım yapıldığı eski günlerde tarlalardaki ürünleri hırsızlıktan korumak için dikilmiş. Önceden tahıl öğütülen ortası çökmüş eski yel değirmenleri ve yıkılmış duvarlar tarım ve endüstri merkezlerinin Anadolu'da bugün olduğundan daha belirgin olduğu geçmiş dönemlerde kurulmuş köylerin yerlerini belirtiyor ve bu eski patikalardan geçenlerin gözünden kaçmıyor. Yalnız ve gruplar halindeki, yazısız mezar taşları veya dikdörtgen kayaların oluşturduğu yüksekliklerle belirtilen mezarlar genel çürüme tablosunu tamamlıyor. Bu işkence gibi yollarda ilerlerken bazen çıkan yumuşak deve yolları muhteşem bir sürüş keyfi sunuyor… ;40.32533725147688,31.10102961319813;Evet;;;;;;;;;;;;;;;;
137;Nallıhan;14.08.1885;Bisiklet;Köstebek’ten sonra yolum başka bir küçük vadiden geçiyor ve çok geçmeden kendimi Ankara vilayetinde buluyorum. Son derece muhteşem bir yoldan doğuya, Nallıhan’a doğru New England eyaletindeki gibi hızla ilerliyorum…  Benim düzeltilmiş at arabası yolu sandığım yolun Köstebek ile Ankara arasında yapılacak demiryolu güzergahı için ön düzeltme yapılmış alan olduğunu Nallıhan’da öğrendim. Bu vadi şimdiye kadar geçtiğimden tamamen farklı bir bölgenin kapısı gibi görünüyor. Bu sabahın ormanlık dağları ve çalılık yamaçlarının tersine çevredeki bütün dağlar bitki örtüsünden tamamıyla yoksun, ancak bu yüzden hoş olmayan bir durumları yok çünkü kendilerine özgü bir sevimlilikleri var. Yapılarında değişik renklerdeki kil ve kayalar yer alıyor. Devasa yüzleri mavi, yeşil, sarı ve kırmızı hatlarla bezenmiş. Dağın her yüzünü kaplayan bu renk renk kütleler Kocaeli'nin çamlı dağlarından daha ilginç, görkemli, muhteşem ve etkileyici bir sahne oluşturuyor. Bu dağların çoğu maden oluşumuna tanıklık ediyor ve Doğudaki birçok yer yoğun iş sahası oluyor. İstanbul'da konuştuğum, yıllarca burada yaşayan İngiliz bir maden uzmanı Anadolu'daki bu tepelerde dünyanın başka herhangi bir yerinde bulunandan daha fazla maden olduğu fikrini anlattı. Ayrıca maden çalışmalarının gelişmesiyle sağlanacak yararları Osmanlı devlet adamlarının ağır işleyen akıllarının anlaması için belli noktalarda sabırla bekleyen olağanüstü düzeydeki kaynaklarla ilgili planlar yapan insanları tanıdığından bahsetti.;40.188872270368606,31.35061151389594;Evet;;;;;;;;;;;;;;;;
138;Beypazarı;15.08.1885;Bisiklet;Sıcaklık neredeyse dayanılmaz hale geliyor. Ağaçsız, sığınaksız tepelerle dolu bölge çevremi kuşatmaya devam ediyor. Öğleden sonra saat 2'de Beypazarı kasabasına ulaşınca bugün kat ettiğim 39 milin bunaltıcı sıcağı düşününce bugünlük yettiğine karar verip kalacak bir han arıyorum. Güneşin yakıcı sıcağından korunurken aradığım sessiz, sakin yeri buluyorum. Beypazarı 8.000 nüfuslu bir yer ve han bir anda bana göre halkın yarısının toplandığı yer haline geliyor;40.168219632497625,31.9204352304128;Evet;;;;;;;;;;;;;;;;
139;Ayaş ;16.08.1885;Bisiklet;"Öğleden sonra geç saatlerde Ayaş’ın bulunduğu dağınık üzüm bağları ve iğde ağaçlarının arasındaki kanyon gibi bir vadiye iniyorum. Ayaş, Büyük İskender'in Frigya kralının koşumlarını çözen Gordion düğümünü kahramanca kestiği ünlü yer olma konusunda Korkuteli köyü ile tartışma içinde. Bugünlerde ilgi çekecek çok az yer olduğu için burası tarihi kalıntıları açısından tüm dünyaya tavsiye edilmesi gereken bir yer; sıradan Türk köylerini niteleyen karmakarışık, çok kötü evlerin olduğu şekilsiz bir köyden ibaret. ";40.01943065855073,32.332201438979475;Evet;;;;;;;;;;;;;;;;
140;Ankara;16.08.1885;Bisiklet;Beni Galatya’nın antik başkenti olduğu sanılan yere uzaktan çarpıcı bir görüntü veren dar, taşları kötü döşenmiş sokaklardan Ankara’nın kurulduğu yamaca götürüyorlar. ;39.93336280386522,32.85974334579788;Evet;;;;;;;;;;;;;;;;
141;Kızılırmak Üzerinde Yazıhan;20.08.1885;Bisiklet;Öğle saatlerinde Kızılırmak üzerinde daha büyük ama aynı oranda acınacak durumdaki Yazıhan'a ulaşıyorum. Nehrin batı kıyısında oldukça büyük bir yapının antik kalıntıları ve yolun karşı tarafında muhtemelen başka bir yere taşınma amacıyla bu kalıntılardan ayrılan gerçek boyutlarından çok daha büyük, yatar konumda bir aslan heykeli bulunuyor. Beyaz mermer bloğundan oyulmuş heykelin başı gitmiş, sanki müstakbel sahipleri hayvanın tamamını taşıyamayacağını anlayınca götürebildikleriyle yetinmeyi tercih etmiş. Eski ve tuhaf şekilde kemerli inşa edilmiş bir taş köprü, kayalık bir geçidin yakın yerinde nehrin üstünden geçiyor. İlkel bir değirmen sol tarafta geçide yakın yerde duruyor. Sürü halindeki develer de sağ tarafta susuzluğunu gideriyor veya suyun yakınında otluyor. Tüm bunlar çok sık görmenin mümkün olduğu diyarlarda bile her gün görülmeyen kesinlikle gerçek bir Doğu resmi çiziyor.;38.59575727809753,38.18007307894603;Evet;;;;;;;;;;;;;;;;
142;Deliceırmak;21.08.1885;Bisiklet;Yol Deliceırmak vadisine indiği yere kadarki birkaç milde zemin olarak çok düzgün ama engebeli devam ediyor. Burada ise anayol dünkü sıkışmamış haline dönüp bozuluyor. Eşek yolları sığ kum hendekleri gibi ve daha ziyade bir dağ köyünden diğerine giden patikalara dönüştüklerinden artık anayolla paralel gitmelerine güvenilmiyor. İyice anlatılan İzmit-Ankara kervan yolu Ankara'dan daha doğuya gelmiyor. Ankara vilayetteki ihraç edilecek malların ticaret ve limana taşınması için toplandığı merkez görevini görüyor. Deliceırmak vadisini bir kısmında tarım yapılıyor ve sık sık kalıcı yerleşimden uzaktaki karpuz tarlalarının arasından geçiliyor. Hasat mevsimi boyunca mallarını silah ve köpekle vicdansız yolculardan korumak isteyen köylülerin içinde yaşadığı geçici kulübeler ve yeraltı sığınakları, bu ayrı kalmış mülklerin her zamanki değişmez bir parçası durumunda;40.43122046765924,34.150735810537995;Evet;;;;;;;;;;;;;;;;
143;Yozgat;21.08.1885;Bisiklet;Ertesi sabah güneş doğarken tuz kervanlarının aşındırdığı yolda tuz ocağından doğuya, Yozgat'a doğru ilerliyorum. Yol bir süre çimenlerle kaplı etraftaki kürt kamplarının sürülerinin bulunduğu bir vadiye doğru iniyor. Vahşi çobanlar vadinin her tarafından dörtnala bana doğru geliyor… ve saat 5:00’te dağların arasındaki vadi denemeyecek bir çöküntüye yerleşen 30.000 nüfuslu Yozgat’a ulaşıyorum. ;39.8210491959471,34.808564913372614;Evet;;;;;;;;;;;;;;;;
144;Sivas;24.08.1885;Bisiklet;Sivas eskiden bir öğrenme merkeziydi. Eski Arap üniversitelerinin görkemli kapıları bazı ön kısımlarla birlikte halen ayakta duruyor. Araplar anlatan güzellik tasarımların bazıları geçmişteki ihtişamı açığa çıkarmak için zarar görmeden yeterince korunmuş. Kafkaslar‘dan gelen göçmenlerin çamur Kulübeleri şimdilerde bu saygı uyandıran kalıntıların iç kısımlarında yer alıyor. Eski püskü giysiler içindeki afacanlar eskiden paşa çocuklarının peygamberin söylemlerini öğrenmek için toplandıkları yerde köpekler ve buzağılarla oynuyor. Küçük, parlak mozaiklerle işlenen Arap eserlerinden geriye kalan ve bir zamanlar kubbenin görkemli tavanını oluşturan parçalar barınak için altına koyulan tezeklere şimdi hüzün ve kederle bakıyor… Sivas’ın doğusunda bisiklet sürüşü için uygun olan anayoldan ilerliyorum, ama burası Yanıkhan’dan sonrasına göre biraz daha kötü. Çok geçmeden tepeler, küçük vadiler ve göllerin bulunduğu, ilerisinde de yolun Kızılırmak vadisine indiği bir bölgeye giriyorum. Bütün gün boyunca yol Anadolu’da umduğumdan çok daha iyi devam ediyor, ancak buralarda hüküm süren doğu rüzgarı Yanıkhan’dan güneşin batışına yakın zamanda ulaştığım Zara’ya kadar yüzlerce milin her santiminde ilerleyişimin önüne yorucu bir engel olarak çıktı. ;39.75054261788361,37.01502466075327;Evet;;;;;;;;;;;;;;;;
145;Zara;26.08.1885;Bisiklet;Zara iki dağ sırasının arasındaki dar geçide kurulmuş ve yol tamamen düz, zemin de pürüzsüz olmasına rağmen rüzgâr boğazdan öylesine boğazdan bir basınçla geliyor ki bisikletin üzerinde ancak olağanüstü bir çabayla oturabiliyorum.;39.898441556718524,37.75723449735363;Evet;;;;;;;;;;;;;;;;
146;Kocakurt;-;Bisiklet;Bu huzur veren, mutlu görüntünün doğu tarafındaki uçlarda öğleden sonra ulaştığım ve mektup getirdiğim Mudura Gana'nın yaşadığı Kocakurt köyü var. Sanatsal açıdan konuşmak gerekirse Kocakurt yakın çevresi için tam bir rezalet. Toprak kulübeler inek ahırları, tavuk kümesleri ve insanların yaşadığı yerleri birleştiriyor. Yapılırken de hiçbir düzen gözetilmemiş, ancak hasat tarlalarından şarkıları gelen neşeli, düzgün giyimli insanlar bu ve bunun gibi zavallı durumdaki köylerde halinden memnun bir şekilde yaşıyor. ;39.16924618721017,37.24878567720967;Evet;;;;;;;;;;;;;;;;
147;Suşehri;-;Bisiklet;Tam önümde ve biraz aşağıda elma, ceviz ve iğde bahçeleri ile çevrili Suşehri uzanıyor. Burada halka açık bir handa kebap yiyerek doyurucu bir kahvaltı yapıyorum…  Bay Pronatti atına biniyor ve Erzincan’a giden doğru yolu göstermek için bir süre bana eşlik ediyor. Suşehri‘nden sonra yolum yüksek dağ sıraları arasındaki verimli, şirin bir vadiden geçiyor. Derelerin beslediği karışık sulama kanalları buğday tarlaları, üzüm bağları ve bahçeler için bolca su sağlıyor. Gördüğüm en iyi ve aynı zamanda en kötü sulanan vadi burası, çünkü hem sulama kanalları sayısız hem de pek çoğu taşıp yolumu çamur çukuru ve sığ havuzlara ;40.163154610933134,38.0914987484259;Evet;;;;;;;;;;;;;;;;
148;Erzincan Vadisi;-;Bisiklet;"Öğleden sonra kendimi yanlış patikada dolaşırken buluyorum. Buralarda başıma gelmesi çok doğal, çünkü Kuruçay vadisinden ayrıldığımdan beri Erzincan patikasını araziyi her yönden kesen sayısız patikadan ayırt etmek zorlaşıyordu. Bunun gibi bir yolculukta yollarla ilgili belli bir içgüdü kazanıyorsunuz gibi geliyor. Kesinlikle öyle ki bu günlerde asla yanlış patikaya girmedim. Şu anda da somut bir kanıt olmamasına rağmen yanlış yolda olduğumu içgüdüsel olarak hissediyorum. Deveyle geçen birkaç adam beni kaybettiğim Erzincan patikasına yönlendiriyor ve bir saat içinde Kelkit çayının bir kolunu takip ediyorum. Bu vadi boyunca her şey muhteşem derecede yeşil ve canlandırıcı geliyor. Sanki bir anda bambaşka bir ülkeye geçmiş gibiyim…  Erzincan ovasına doğru inişe geçiyorum. Yerliler arasında ""Fırat"" olarak bilinen Euphrates'i besleyen batıdaki kolunu birkaç mil boyunca takip ediyorum. Bu kol Kara Su olarak adlandırılıyor. Nehir ve izlediğim yol sarp yamaçlarında tarım yapılmayan, killi şist ve kayadan oluşan yüksek tepeler arasındaki dar, kayalık geçitten aşağı ilerliyor. Sanki lanetlenmiş gibi bölgedeki her şey siyah ve ıssız görünüyor… Erzincan vadisine çıkıyorum. Geçidin en alçak kesiminde biriken toprakta nehir muazzam derinlikte bir kanal açmış. Yüz metre mesafedeki kaya ve çakıllar muhtemelen şiddetli yağmurlar sırasında dağlardan taşınan minik parçacıklarla birbirine yapışmış. Büyük felaket dünya çapında bir sel yerine bazılarının inandığı gibi yerel bir olay olsa bile şu anda yavaş yavaş Ağrı dağına yaklaştığımız bu bölge hiç şüphesiz su altında kalmıştı. Taşlaşmış ağaç yığınları gibi görünen şeyler bu taş kütlesinin arasına dağılmış. Güneşin altında yeni hiçbir şey olmadığı söylenir, belki de unutkan kocası her zamanki gibi bildiğini yapmakta ısrar edip gerekenden 5 santim daha uzun kestiği için Nuh'un eşinin geminin mutfak penceresinden öfkeyle aşağı attığı soba odunlarıdır kim bilir. Artık bahçelerle çevrili köylerin arasındaki düzgün, aynı seviyede olan bir yolda ilerliyorum. Geçidin kayalık ve bitkisiz ortamından çıktıktan sonra tarım, huzur ve bolluk gelen bahçelerin yeşilliği arasındaki dağınık köyleriyle son derece etkileyici vadiyi istila etmiş görünüyor. Uygun arka planı en yüksek zirvelerinde halen kar kütleleri bulunan güneydeki oldukça yüksek dağ sıraları sunuyor.";39.2699610744707,38.49746015154984;Evet;;;;;;;;;;;;;;;;
149;Hasanbey, Erzurum;02.09.1885;Bisiklet;Bugün Anadolu'da geçirdiğim en sıcak gün ve karakoldan ayrıldıktan kısa süre sonra şimdi Trabzon ve Erzincan kervan yolunu takip ettiğim sonu gelmeyen dağlarla bir kez daha karşılaşıyorum. Yine dağlarda geceliyorum ve karanlık olduktan sonra ilerlemeye devam ediyorum. Biraz ileride bir öküz arabasının gıcırtısını duyduğumda yemek yemeden kamp yapmaya karar vermiştim. Az sonra ona yetişiyorum ve patikada yarım mil kadar takip ettikten sonra görkemli kapıları bulunan etrafı yüksek taş duvarla çevrili birkaç dönümlük bir arazinin önüne geliyorum. Trabzon kervanlarının kışın konaklaması için özel olarak yapılan birkaç yerden biri olan duvarla çevril Hasanbey köyüne ulaşıyorum. Burada yolcuların kalması için ayrılmış geniş bir odaya alınıyorum. Odada şimdiden dış görünüşüyle en kötü türden caniler olduğu düşünülebilecek üç yolcu var. Köylüler de içeri akın etmeye başlayınca kısa sürede her zamanki perişan kılıklı, pireli kalabalık etrafıma toplanıyor. Duvar küçük bir birliği silahlandırmaya yetecek kadar değişik silahlar ve savaş malzemesi var. Hepsi de üç yolcuya ait ve sade silahım kılıç, kama, tabanca ve tüfeklerin yanında hiç gibi kalıyor. ;39.943998891136914,42.462989403083405;Evet;;;;;;;;;;;;;;;;
